row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,exclude_reason,sample_id_group,storage,value_t0,fold_change,trace_id
C,1,C1,272,n,25,FALSE,FALSE,NA,9,room_temp,257,1.0583657587548638,n_9
C,2,C2,357,n,25,FALSE,FALSE,NA,10,room_temp,337,1.0593471810089021,n_10
C,3,C3,219,n,25,FALSE,FALSE,NA,11,room_temp,206,1.0631067961165048,n_11
A,1,A1,230,n,6,FALSE,FALSE,NA,1,room_temp,238,0.9663865546218487,n_1
A,2,A2,231,n,6,FALSE,FALSE,NA,2,room_temp,234,0.9871794871794872,n_2
A,3,A3,260,n,6,FALSE,FALSE,NA,3,room_temp,261,0.9961685823754789,n_3
B,1,B1,274,n,6,FALSE,FALSE,NA,5,room_temp,275,0.9963636363636363,n_5
B,2,B2,257,n,6,FALSE,FALSE,NA,6,room_temp,258,0.9961240310077519,n_6
C,1,C1,258,n,6,FALSE,FALSE,NA,9,room_temp,257,1.0038910505836576,n_9
C,2,C2,335,n,6,FALSE,FALSE,NA,10,room_temp,337,0.9940652818991098,n_10
C,3,C3,204,n,6,FALSE,FALSE,NA,11,room_temp,206,0.9902912621359223,n_11
A,1,A1,258,n,96,FALSE,FALSE,NA,1,room_temp,238,1.084033613445378,n_1
A,2,A2,250,n,96,FALSE,FALSE,NA,2,room_temp,234,1.0683760683760684,n_2
A,3,A3,283,n,96,FALSE,FALSE,NA,3,room_temp,261,1.0842911877394636,n_3
B,1,B1,297,n,96,FALSE,FALSE,NA,5,room_temp,275,1.08,n_5
B,2,B2,283,n,96,FALSE,FALSE,NA,6,room_temp,258,1.0968992248062015,n_6
C,1,C1,280,n,96,FALSE,FALSE,NA,9,room_temp,257,1.0894941634241244,n_9
C,2,C2,360,n,96,FALSE,FALSE,NA,10,room_temp,337,1.0682492581602374,n_10
C,3,C3,222,n,96,FALSE,FALSE,NA,11,room_temp,206,1.0776699029126213,n_11
